Carrier	VAT	Format	Checksum	Registered	Name	Address	Country
Gartner Intertrans Hungária Kft.	HU10457812	Valid	Pass	Yes	GARTNER INTERTRANS HUNGÁRIA NEMZETKÖZI FUV.,SZÁLLITMÁNYOZÁSI KFT.	SPEDITOR UTCA 1. 8900 ZALAEGERSZEG	HU
DARTOM SP. Z O.O.	PL8380000966	Valid	Pass	Yes	DARTOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	BAŁTYCKA 50, 05-825 GRODZISK MAZOWIECKI	PL
HEMMERLIN SA	FR11399514611	Valid	Pass				
FM Polska Sp. z o. o.	PL8381000827	Valid	Pass	Yes	FM POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	TARCZYŃSKA 111A, 96-320 MSZCZONÓW	PL
Girteka Logistics Ltd	LT100005407518	Valid	Pass	Yes	EVERWEST UAB	Laisvės pr. 36, Vilniaus m., Vilniaus m. sav.	LT
EST Contracts BV - Istanbul branch	NL866889899B01	Valid	Fail	See suggestions			
Frode laursen	DK29482713	Valid	Pass	Yes	FRODE LAURSEN A/S	Vittenvej 90, 8382 Hinnerup	DK
Transforwarding International Sp. z o.o.	PL5342147482	Valid	Pass	Yes	TRANSFORWARDING INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	NA SKRAJU 73 MA, 05-090 RASZYN	PL
CONTAINERSHIPS PLC	FI08183585	Valid	Pass	No			
DHL Express Portugal Lda.	PT500731993	Valid	Pass	Yes	DHL EXPRESS PORTUGAL LDA	AEROPORTO DE LISBOA RUA C EDIFICIO 69 3 PISO GABINETE 306 30, 8, LISBOA, 1700-008 LISBOA	PT
EST Contracts BV - Budapest branch	NL811514274	Invalid					
EST Poland sp. z o.o. - branch 1	NL811514274B01	Valid	Fail	See suggestions			
A. T. TROTA, S.A.	ESA25038142	Valid	Pass				
Luís Simões Logística Integrada, S.A.	PT500289050	Valid	Pass	Yes	LUÍS SIMÕES LOGÍSTICA INTEGRADA, S.A.	MONINHOS, LOURES, 2670-501 LOURES	PT
transportes J. CARRION	ESA04014635	Valid	Pass				
GEFCO Deutschland GmbH	DE811122082	Valid	Pass	Yes	N/A	N/A	DE
ERONTRANS SP. Z O. O.	PL5890011743	Valid	Pass	Yes	ERONTRANS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	GRUNWALDZKA 64B, 83-000 PRUSZCZ GDAŃSKI	PL
GEFCO ITALIA SPA	IT08983530158	Valid	Pass	Yes	CEVA GROUND LOGISTICS ITALY S.P.A.	STRADA 3 PALAZZO B5 SNC , 20057 ASSAGO MI	IT
Transportes Pascoal	PT500514666	Valid	Pass	Yes	TRANSPORTES PASCOAL, S.A.	ESTRADA NACIONAL N 1 SANTA LUZIA, BARCOUÇO, 3050-106 BARCOUCO	PT
MÜLLER TRANSPORTE GmbH	ATU19432905	Valid	Pass	Yes	Müller BeteiligungsverwaltungsGmbH	Palmersstraße 10, AT-2351 Wiener Neudorf	AT
H. Essers Transport Company Nederland BV	NL002837110B01	Valid	Fail	See suggestions			
ITF Polska Sp. z o.o.	PL1181733941	Valid	Pass	No			
ABC Czepczynski Spolka z o.o. Sp.k.	PL5951442504	Valid	Pass	Yes	ABC CZEPCZYŃSKI SP. Z O.O. SPÓŁKA KOMANDYTOWA	WIGURY 20, 64-400 MIĘDZYCHÓD	PL
VAN CARGO S.A.	PL5242125771	Valid	Pass	Yes	VAN CARGO SPÓŁKA AKCYJNA	PRZECŁAWSKA 8, 03-879 WARSZAWA	PL
Schenker Sp z o.o.	PL5270103824	Valid	Pass	Yes	SCHENKER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ŻWIRKI I WIGURY 16C, 02-092 WARSZAWA	PL
Hellmann Worldwide Logistics Polska Sp.z o.o sp. k.	PL1230005823	Valid	Pass	Yes	HELLMANN WORLDWIDE LOGISTICS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA	ALEJA KRAKOWSKA 61, 02-183 WARSZAWA	PL
Vesta Ukraine	35322154	Invalid					
DHL EXPRESS SP. Z O.O.	PL5270022391	Valid	Pass	Yes	DHL EXPRESS (POLAND) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	WIRAŻOWA 37, 02-158 WARSZAWA	PL
TARGOR-TRUCK SP. Z O.O.	PL7582045405	Valid	Pass	Yes	"TARGOR-TRUCK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ŁAWY 97, 07-411 RZEKUŃ	PL
Ekol Logistics	TR3300012602	Invalid					
Tradecor s.r.l.	IT00160120266	Valid	Fail	See suggestions			
DHL Freight Belgium nv	BE0401264551	Valid	Pass	Yes	NV DHL FREIGHT (BELGIUM)	Brandekensweg 2, 2627 Schelle	BE
MANVESTA	LT582970113	Valid	Pass	Yes	UAB "Manvesta"	P. Paulaičio g. 13B, Jurbarko m., Jurbarko miesto sen., Jurbarko r. sav.	LT
CAMPILLO PALMERA SL	ESB73783003	Valid	Pass				
ATC CARGO SA	PL9581531010	Valid	Pass	Yes	ATC CARGO SPÓŁKA AKCYJNA	KIELECKA 2, 81-303 GDYNIA	PL
Bei-Trans	31526028	Invalid					
DHL Global Forwarding (Italy) S.p.A. – Div. Freight	IT00754800159	Valid	Pass	Yes	DHL GLOBAL FORWARDING (ITALY) SPA	VIA DELLE INDUSTRIE 1 , 20060 POZZUOLO MARTESANA MI	IT
Patinter España S.L	PT500212848	Valid	Pass	Yes	PATINTER PORTUGUESA AUTOMOVEIS TRANSPORTADORES SA	ESTRADA NACONAL 16 KM 106 100 FAGILDE, FORNOS DE MACEIRA DÂO, 3530-070 FORNOS DE MACEIRA DAO	PT
