Reckitt to check	TRANSPOREON ID	Ticontract ID	Name	CreditorNumber_BillingDetail	VAT	CountryId	Street_1	Street_2	Zip	Location	CarrierStatus
	229121	104852	DARTOM SP. Z O.O.	229121	PL8380000966	PL	BAŁTYCKA 50	NULL	05-825	GRODZISK MAZOWIECKI	active
	221926	104867	HEMMERLIN SA	221926	FR 11399514611	FR	12, rue des Cévennes	NULL	68390	Sausheim	active
	230955	104939	FM Polska Sp. z o. o.	230955	PL8381000827	PL	Ługowa 30	NULL	96-320	Mszczonów	active
	231137	105658	Girteka Logistics Ltd	231137	LT100005407518	LT	Kuprinoniskes vlg	NULL	13279	Vilnius region	active
VAT Nr missing	258468	105681	EST Contracts BV - Istanbul branch	258468	NULL	NL	Teleportboulevard 120	NULL	1043 EJ	Amsterdam	active
VAT Nr missing	230869	105715	Frode laursen	230869	DK0000000000	DK	vittenvej 90	NULL	8382	hinnerup	active
VAT Nr missing	229592	105724	Transforwarding International Sp. z o.o.	229592	NULL	PL	Na Skraju 73A	NULL	05-090	Raszyn	active
	230876	105748	CONTAINERSHIPS PLC	Containerships	FI08183585	FI	Mannerheimintie 15a	NULL	260	Helsinki	active
VAT Nr missing	230935	105784	DHL Express Portugal Lda.	230935	PT0000000000	PT	Urbanização do Passil, Lote 93 A	Passil	2890	Alcochete	active
VAT Nr missing	231183	105799	EST Contracts BV - Lyon branch	231183	NULL	FR	Teleportboulevard 120	NULL	1043EJ	Amsterdam	active
	229564	105802	EST Contracts BV - Budapest branch	229564	NL811514274	HU	Teleportboulevard 120	NULL	1043 EJ	Amsterdam	active
	233875	105804	EST Poland sp. z o.o. - branch 1	CHR	NL811514274B01	PL	Łucka 9	NULL	00-842	Warszawa	active
	244609	105841	A. T. TROTA, S.A.	230931	ESA25038142	ES	CIM LLEIDA VIAL E	PARCELA 17	25190	LLEIDA	active
	341645	106015	Luís Simões Logística Integrada, S.A.	235268	PT-500289050	PT	Moninhos, Apartado 41	NULL	2671-951	Loures	active
VAT Nr wrong	258676	106018	transportes J. CARRION	258676	A-04014635	ES	C/PABLO PICASSO, 1	NULL	4230	HUERCAL DE ALMERIA	active
	336195	106048	GEFCO Deutschland GmbH	258881	DE811122082	DE	Kurhessenstraße 13	NULL	64546	Mörfelden-Walldorf	active
	241914	106062	ERONTRANS SP. Z O. O.	241914	PL5890011743	PL	Grunwaldzka 64b	NULL	PL 83-000	Pruszcz Gdanski	active
VAT Nr missing	260712	106161	GEFCO ITALIA SPA	245249	NULL	IT	VIA PALIZZI 89	NULL	20157	MILANO	active
VAT Nr missing	257414	106180	Transportes Pascoal	257414	PT0000000000	PT	Santa Luzia	NULL	3050-106	Coimbra Norte	active
	235114	106205	MÜLLER TRANSPORTE GmbH	235114	ATU 194 32 905	AT	Palmersstrasse 10	NULL	2351	WIENER NEUDORF	active
